dataset_id,wavenumber,source_intensity,display_intensity
dnarna_experimental,600,0.342643372,-0.81042207616858253
dnarna_experimental,601,0.376736986,-0.80150891628399634
dnarna_experimental,602,0.408634096,-0.79316999271648503
dnarna_experimental,603,0.43838245999999997,-0.78539281999912902
dnarna_experimental,604,0.46670236900000001,-0.77798909105346981
dnarna_experimental,605,0.49263802499999998,-0.7712086820114824
dnarna_experimental,606,0.51744155800000002,-0.76472424608950562
dnarna_experimental,607,0.54208061500000004,-0.75828280944842574
dnarna_experimental,608,0.56191756400000004,-0.75309679725096901
dnarna_experimental,609,0.59471475600000001,-0.74452256349383572
dnarna_experimental,610,0.63391123800000004,-0.73427535089327933
dnarna_experimental,611,0.67883033999999998,-0.72253206260480296
dnarna_experimental,612,0.73158623899999997,-0.70873998521922332
dnarna_experimental,613,0.77909047099999995,-0.69632086136187943
dnarna_experimental,614,0.82336345300000002,-0.68474648948292849
dnarna_experimental,615,0.86178098199999997,-0.67470292008169908
dnarna_experimental,616,0.89978093100000001,-0.66476851943285253
dnarna_experimental,617,0.91089202899999999,-0.66186372345061062
dnarna_experimental,618,0.90478915699999996,-0.66345920915920009
dnarna_experimental,619,0.88256540999999999,-0.66926920660463352
dnarna_experimental,620,0.83728904100000001,-0.68110589590047999
dnarna_experimental,621,0.80190230900000004,-0.69035711814136658
dnarna_experimental,622,0.76670325399999995,-0.69955927561875653
dnarna_experimental,623,0.73411374500000004,-0.70807921440486343
dnarna_experimental,624,0.70585120700000004,-0.71546794473829756
dnarna_experimental,625,0.68319178999999997,-0.72139184024003322
dnarna_experimental,626,0.66682102499999996,-0.72567168120608594
dnarna_experimental,627,0.65900120699999998,-0.72771603145016284
dnarna_experimental,628,0.65436995099999995,-0.72892678972279568
dnarna_experimental,629,0.65372754,-0.72909473648123013
dnarna_experimental,630,0.65610452600000002,-0.72847331640351631
dnarna_experimental,631,0.66239546800000004,-0.72682866318867501
dnarna_experimental,632,0.66648477900000003,-0.7257595866525004
dnarna_experimental,633,0.66868581699999996,-0.72518416500297822
dnarna_experimental,634,0.66790366499999998,-0.72538864452310325
dnarna_experimental,635,0.66523192600000003,-0.72608712245145912
dnarna_experimental,636,0.65518069899999998,-0.72871483429471728
dnarna_experimental,637,0.63910730699999996,-0.73291693245842704
dnarna_experimental,638,0.61727889700000005,-0.73862357618227215
dnarna_experimental,639,0.58649936199999997,-0.74667032994173632
dnarna_experimental,640,0.55788305100000002,-0.75415154783931793
dnarna_experimental,641,0.52933142399999999,-0.76161585527284703
dnarna_experimental,642,0.50201481699999995,-0.76875728902332607
dnarna_experimental,643,0.47568997899999999,-0.77563944267326856
dnarna_experimental,644,0.45419189399999998,-0.78125972888925688
dnarna_experimental,645,0.43682848000000002,-0.78579908001595944
dnarna_experimental,646,0.42361314799999999,-0.78925398998953655
dnarna_experimental,647,0.41937669999999999,-0.79036153283808097
dnarna_experimental,648,0.41002480899999999,-0.79280641590932777
dnarna_experimental,649,0.40023031199999998,-0.79536701032886048
dnarna_experimental,650,0.39027191300000003,-0.79797045396735244
dnarna_experimental,651,0.37319974299999997,-0.80243366460811461
dnarna_experimental,652,0.370825295,-0.80305442117154713
dnarna_experimental,653,0.37588124899999997,-0.8017326332739334
dnarna_experimental,654,0.38785577900000001,-0.79860210858292313
dnarna_experimental,655,0.41516585299999997,-0.79146238276735303
dnarna_experimental,656,0.42893710499999999,-0.7878621375458601
dnarna_experimental,657,0.43855584199999997,-0.7853474924053131
dnarna_experimental,658,0.44396237700000002,-0.78393405143432626
dnarna_experimental,659,0.43836731400000001,-0.78539677964739663
dnarna_experimental,660,0.44512445299999998,-0.78363024764321032
dnarna_experimental,661,0.45669891000000001,-0.78060431481548875
dnarna_experimental,662,0.473702711,-0.77615897801550371
dnarna_experimental,663,0.49865327999999998,-0.76963610218578382
dnarna_experimental,664,0.524060635,-0.76299380790277116
dnarna_experimental,665,0.55244878200000003,-0.75557223936391993
dnarna_experimental,666,0.583365421,-0.74748964223880932
dnarna_experimental,667,0.61644711600000002,-0.73884103030848958
dnarna_experimental,668,0.65082550699999997,-0.72985342061836345
dnarna_experimental,669,0.68614440600000004,-0.72061993209073028
dnarna_experimental,670,0.72449371699999998,-0.71059419705405391
dnarna_experimental,671,0.759453194,-0.70145467291963648
dnarna_experimental,672,0.79254470600000004,-0.69280349451189405
dnarna_experimental,673,0.82394969500000004,-0.68459322709551884
dnarna_experimental,674,0.84808919400000005,-0.67828239087496422
dnarna_experimental,675,0.88059598500000003,-0.66978407721664024
dnarna_experimental,676,0.91771782599999996,-0.66007924205181467
dnarna_experimental,677,0.95972606000000005,-0.64909694765172232
dnarna_experimental,678,1.0087242320000001,-0.63628726015163939
dnarna_experimental,679,1.057635487,-0.6235002955320843
dnarna_experimental,680,1.1070501290000001,-0.6105817294690794
dnarna_experimental,681,1.1553111599999999,-0.59796475417576
dnarna_experimental,682,1.2013190090000001,-0.58593683263940122
dnarna_experimental,683,1.241122074,-0.57553103986420362
dnarna_experimental,684,1.273219675,-0.5671397015442281
dnarna_experimental,685,1.2953804099999999,-0.56134617744863224
dnarna_experimental,686,1.3137471940000001,-0.55654451334937716
dnarna_experimental,687,1.30469817,-0.55891021731116486
dnarna_experimental,688,1.2751887580000001,-0.56662492034194711
dnarna_experimental,689,1.2258670229999999,-0.57951919754706227
dnarna_experimental,690,1.150950307,-0.59910482046565749
dnarna_experimental,691,1.0751078030000001,-0.61893247394350137
dnarna_experimental,692,0.99405098700000005,-0.64012331515920484
dnarna_experimental,693,0.91151583199999997,-0.6617006414178439
dnarna_experimental,694,0.82665174399999997,-0.68388682516485277
dnarna_experimental,695,0.75535437999999999,-0.70252623384360247
dnarna_experimental,696,0.69523843200000002,-0.71824246316846863
dnarna_experimental,697,0.64784023199999996,-0.73063386687361986
dnarna_experimental,698,0.61827631599999999,-0.73836281899123568
dnarna_experimental,699,0.59328038900000002,-0.74489755285120263
dnarna_experimental,700,0.57802672399999999,-0.7488853481893829
dnarna_experimental,701,0.57235764300000003,-0.75036742707229831
